('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         788900 function calls (765638 primitive calls) in 1.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1215(path_stats)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1495    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.000    0.000 typing.py:1426(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
      120    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 __init__.py:151(EntryPoint)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
     3056    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(_path_hooks)
       27    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
       98    0.000    0.000    0.000    0.000 enum.py:1502(__or__)
     3129    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      200    0.000    0.000    0.000    0.000 filter.py:617(_attribute_match)
      162    0.000    0.000    0.000    0.000 enum.py:1512(__and__)
      412    0.000    0.000    0.000    0.000 _parser.py:257(getwhile)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
      333    0.000    0.000    0.000    0.000 enum.py:822(__setattr__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2294(_IPv6Constants)
      920    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      129    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
     2259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2218(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      275    0.000    0.000    0.000    0.000 enum.py:1101(__new__)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:679(_classify_pyc)
        8    0.000    0.000    0.000    0.000 message.py:493(get)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
      119    0.000    0.000    0.000    0.000 typing.py:1415(<genexpr>)
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:712(_validate_timestamp_pyc)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
        4    0.000    0.000    0.000    0.000 message.py:595(get_content_type)
       61    0.000    0.000    0.000    0.000 typing.py:318(_remove_dups_flatten)
        9    0.000    0.000    0.000    0.000 typing.py:1781(__new__)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
  767/701    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
